type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
blockOfFlats,55.13,2.0,3.0,4.0,2000.0,53.399444,14.526111,3.53,8.0,0.109,1.004,0.153,0.178,0.166,2.296,0.141,condominium,yes,yes,no,no,no,479000
blockOfFlats,109.0,4.0,4.0,4.0,2008.0,53.4183,14.5412,1.43,9.0,0.008,0.68,0.478,0.518,0.268,0.658,0.304,condominium,no,yes,yes,yes,no,1199000
blockOfFlats,52.97,3.0,4.0,4.0,1976.0,53.3970831,14.5254429,3.76,6.0,0.254,1.27,0.114,0.106,0.144,2.563,0.125,cooperative,yes,yes,no,no,yes,450000
tenement,96.0,3.0,3.0,3.0,1935.0,53.428898,14.5338625,1.9,29.0,0.196,0.741,0.219,0.411,0.226,0.64,0.103,condominium,no,yes,no,no,yes,665000
blockOfFlats,37.34,2.0,10.0,11.0,1970.0,53.4065346,14.52471231,3.05,17.0,0.143,0.378,0.279,0.122,0.186,1.548,0.139,condominium,no,yes,yes,no,yes,419000
blockOfFlats,44.9,2.0,4.0,4.0,2009.0,53.4327830394222,14.5154391859077,3.19,12.0,0.149,1.222,0.082,0.351,0.064,1.156,0.144,condominium,no,no,no,no,yes,525000
tenement,37.14,2.0,2.0,4.0,1930.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,no,no,no,no,yes,439000
tenement,40.14,2.0,3.0,4.0,1940.0,53.43287621,14.54375267,1.55,80.0,0.378,0.471,0.327,0.319,0.04,0.341,0.186,condominium,yes,no,no,no,yes,350000
blockOfFlats,75.0,3.0,2.0,2.0,2017.0,53.4777278,14.5423184,6.17,2.0,1.285,2.64,0.947,0.533,0.368,2.919,0.451,condominium,yes,yes,no,no,yes,750000
blockOfFlats,42.42,3.0,2.0,10.0,1980.0,53.441481,14.567764,2.06,14.0,0.201,0.992,0.548,0.18,0.251,1.408,0.234,condominium,no,yes,yes,no,yes,559000
apartmentBuilding,48.0,3.0,2.0,3.0,2022.0,53.39362113,14.48229773,6.18,0.0,1.897,3.453,0.896,1.813,0.821,4.379,0.867,condominium,yes,yes,no,no,no,565000
blockOfFlats,55.1,3.0,2.0,2.0,2010.0,53.4803252,14.5393245,6.49,2.0,1.56,2.886,1.294,0.882,0.437,3.249,0.287,condominium,yes,yes,no,no,yes,669000
blockOfFlats,47.55,2.0,10.0,11.0,1980.0,53.434856,14.555415,1.33,36.0,0.203,0.039,0.278,0.115,0.053,0.739,0.093,condominium,no,no,yes,no,yes,424000
blockOfFlats,47.1,2.0,4.0,4.0,1971.0,53.455075,14.5474,3.64,4.0,0.71,0.951,0.238,0.193,0.532,1.797,0.122,condominium,no,no,no,no,yes,459000
blockOfFlats,41.0,2.0,1.0,4.0,1960.0,53.42514468,14.55632687,0.36,74.0,0.155,0.528,0.386,0.142,0.137,0.586,0.254,condominium,no,yes,no,no,yes,399000
blockOfFlats,64.0,3.0,4.0,4.0,1991.0,53.4409112524084,14.4937263061079,4.86,7.0,0.428,0.835,0.26,0.078,0.268,2.458,0.256,condominium,no,yes,no,no,yes,595000
blockOfFlats,35.0,1.0,1.0,4.0,2007.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,cooperative,yes,yes,no,no,yes,415000
blockOfFlats,26.5,1.0,3.0,11.0,1980.0,53.41545475,14.53108671,2.17,10.0,0.463,0.5,0.091,0.187,0.238,0.488,0.8,cooperative,yes,yes,yes,no,yes,359000
tenement,39.94,2.0,2.0,3.0,1960.0,53.4474854,14.5498603,2.78,16.0,0.474,0.745,0.499,0.367,0.209,1.352,0.019,condominium,no,no,no,no,yes,419000
tenement,68.1,3.0,4.0,4.0,1930.0,53.4340574,14.56920147,1.3,13.0,0.463,0.935,0.391,0.4,0.19,0.724,0.313,condominium,yes,no,no,no,yes,460000
blockOfFlats,71.48,4.0,3.0,3.0,1979.0,53.42632,14.53144,1.98,20.0,0.21,0.429,0.107,0.697,0.087,0.721,0.048,condominium,no,no,no,no,no,399000
blockOfFlats,93.5,3.0,4.0,5.0,1997.0,53.445816,14.549937,2.6,14.0,0.413,0.566,0.388,0.387,0.124,1.189,0.052,cooperative,yes,yes,no,no,yes,599000
blockOfFlats,37.0,2.0,10.0,11.0,1970.0,53.44545,14.55238,2.52,15.0,0.247,0.493,0.418,0.458,0.141,1.242,0.022,cooperative,no,yes,yes,no,no,315000
apartmentBuilding,46.1,2.0,2.0,3.0,2015.0,53.41691025,14.53617498,1.79,11.0,0.315,0.467,0.284,0.381,0.342,0.444,0.477,condominium,yes,yes,no,no,no,629000
blockOfFlats,45.0,2.0,1.0,4.0,2003.0,53.474167,14.537222,5.86,1.0,0.888,2.189,0.795,0.494,0.598,3.013,0.662,condominium,no,yes,no,no,yes,519000
blockOfFlats,46.8,2.0,2.0,4.0,1964.0,53.41477573,14.53064203,2.23,8.0,0.383,0.578,0.155,0.162,0.192,0.566,0.772,condominium,no,no,no,no,yes,499000
blockOfFlats,44.0,2.0,1.0,4.0,1964.0,53.4339832833097,14.5447663015548,1.59,76.0,0.288,0.34,0.26,0.279,0.102,0.335,0.269,condominium,yes,no,yes,yes,yes,339000
tenement,51.0,2.0,2.0,3.0,1950.0,53.4312995,14.5648979,0.92,16.0,0.277,0.774,0.029,0.059,0.173,0.305,0.658,condominium,yes,no,no,no,yes,469000
blockOfFlats,86.0,3.0,3.0,3.0,2012.0,53.4660213,14.5383199,4.97,8.0,0.08,1.313,0.18,0.251,0.112,2.683,0.401,condominium,no,yes,no,no,no,679000
tenement,115.0,5.0,1.0,4.0,1930.0,53.4318317,14.5396127,1.7,67.0,0.084,0.538,0.316,0.174,0.04,0.348,0.121,condominium,no,no,no,no,yes,625000
apartmentBuilding,33.46,1.0,1.0,17.0,2023.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,condominium,no,no,yes,no,no,351330
blockOfFlats,38.3,2.0,4.0,10.0,1970.0,53.41169875,14.52667189,2.62,15.0,0.199,0.434,0.478,0.132,0.085,0.962,0.353,condominium,no,no,yes,no,yes,429000
tenement,107.31,5.0,3.0,4.0,1938.0,53.4268,14.5353,1.74,32.0,0.075,0.562,0.211,0.48,0.057,0.615,0.053,condominium,yes,yes,no,no,yes,649000
blockOfFlats,38.0,2.0,1.0,4.0,1999.0,53.455075,14.5474,3.64,4.0,0.71,0.951,0.238,0.193,0.532,1.797,0.122,condominium,no,yes,no,no,yes,370000
tenement,68.1,3.0,4.0,4.0,1932.0,53.43489405,14.56955927,1.4,14.0,0.367,0.951,0.368,0.438,0.216,0.809,0.221,condominium,no,no,no,no,yes,470000
apartmentBuilding,35.91,2.0,1.0,3.0,2022.0,53.4611827,14.5445153,4.34,2.0,0.66,1.052,0.502,0.587,0.155,2.253,0.215,condominium,no,yes,yes,no,no,505000
blockOfFlats,29.8,2.0,1.0,4.0,1970.0,53.44049,14.57233,2.04,16.0,0.275,1.278,0.326,0.107,0.419,1.426,0.098,cooperative,no,no,no,no,yes,320000
blockOfFlats,88.0,3.0,3.0,3.0,1997.0,53.44009072,14.49676037,4.64,8.0,0.209,0.666,0.477,0.161,0.448,2.266,0.468,cooperative,no,yes,no,no,yes,820000
tenement,68.0,3.0,4.0,4.0,1950.0,53.42997,14.56525,0.78,18.0,0.202,0.883,0.162,0.207,0.215,0.248,0.713,condominium,no,no,no,no,yes,476974
blockOfFlats,61.26,2.0,3.0,3.0,2012.0,53.47010548,14.57526798,5.28,1.0,0.733,1.114,1.522,0.177,1.19,0.852,1.202,condominium,yes,no,yes,no,no,639000
blockOfFlats,48.66,2.0,2.0,3.0,2011.0,53.457778,14.5825,4.08,7.0,0.088,1.201,0.882,0.755,0.247,0.608,0.13,condominium,no,yes,yes,no,no,580000
apartmentBuilding,35.91,2.0,1.0,3.0,2022.0,53.474167,14.537222,5.86,1.0,0.888,2.189,0.795,0.494,0.598,3.013,0.662,condominium,no,no,yes,no,no,510000
blockOfFlats,35.91,2.0,1.0,3.0,2022.0,53.46146895,14.54384832,4.38,3.0,0.611,1.043,0.452,0.546,0.113,2.295,0.161,condominium,no,yes,yes,no,no,510000
apartmentBuilding,74.07,4.0,1.0,3.0,2019.0,53.4621958,14.5271756,4.86,2.0,0.148,0.926,0.787,0.246,0.841,2.224,0.931,condominium,yes,no,yes,no,no,1194280
blockOfFlats,57.66,3.0,3.0,4.0,1940.0,53.4485606,14.545625,2.98,11.0,0.186,0.964,0.292,0.372,0.476,1.205,0.299,condominium,yes,yes,no,no,yes,560000
blockOfFlats,53.26,2.0,10.0,11.0,1993.0,53.41162747,14.4910698,4.81,3.0,0.666,1.385,0.341,0.649,0.398,2.837,0.863,condominium,no,yes,yes,no,yes,439000
tenement,45.0,2.0,1.0,2.0,1920.0,53.42952013,14.5392662,1.59,63.0,0.104,0.669,0.194,0.086,0.021,0.28,0.235,condominium,no,no,no,no,no,490000
blockOfFlats,52.9,2.0,2.0,4.0,1999.0,53.422655,14.5383241,1.5,18.0,0.054,0.49,0.043,0.623,0.004,0.545,0.063,condominium,no,yes,no,no,yes,550000
tenement,122.0,4.0,3.0,4.0,1936.0,53.4279217,14.53787763,1.61,48.0,0.149,0.726,0.075,0.285,0.159,0.407,0.103,condominium,no,yes,no,no,yes,893000
blockOfFlats,57.55,3.0,3.0,3.0,2015.0,53.39442076,14.49296665,5.54,2.0,1.98,2.877,0.301,2.063,0.326,3.814,0.525,condominium,no,yes,no,no,no,629000
blockOfFlats,68.4,3.0,1.0,4.0,2014.0,53.457778,14.5825,4.08,7.0,0.088,1.201,0.882,0.755,0.247,0.608,0.13,condominium,yes,yes,no,no,yes,749000
blockOfFlats,75.0,3.0,5.0,5.0,1992.0,53.44695,14.55296,2.67,15.0,0.279,0.659,0.58,0.454,0.022,1.401,0.165,cooperative,no,no,no,no,yes,595000
